t/s	U/V
11181,068	4,155
11201,081	4,155
11221,095	4,155
11241,109	4,155
11261,123	4,155
11281,136	4,155
11301,150	4,155
11321,164	4,155
11341,177	4,155
11361,191	4,155
11381,205	4,155
11401,219	4,155
11421,232	4,155
11441,246	4,155
11461,260	4,155
11481,274	4,154
11501,287	4,154
11521,301	4,155
11541,315	4,155
11561,329	4,154
11581,342	4,154
11601,356	4,154
11621,370	4,154
11641,384	4,154
11661,397	4,154
11681,411	4,154
11701,425	4,154
11721,439	4,154
11741,452	4,154
11761,466	4,154
11781,480	4,154
11801,494	4,154
11821,507	4,153
11841,521	4,154
11861,535	4,154
11881,549	4,153
11901,562	4,154
11921,576	4,154
11941,590	4,153
11961,603	4,153
11981,617	4,153
12001,631	4,153
12021,645	4,153
12041,658	4,153
12061,672	4,153
12081,686	4,153
12101,700	4,153
12121,713	4,153
12141,727	4,153
12161,741	4,153
12181,755	4,153
12201,768	4,153
12221,782	4,153
12241,796	4,153
12261,810	4,153
12281,823	4,153
12301,837	4,153
12321,851	4,152
12341,865	4,152
12361,879	4,152
12381,892	4,152
12401,906	4,152
12421,920	4,152
12441,933	4,152
12461,947	4,152
12481,961	4,152
12501,975	4,152
12521,988	4,151
12542,002	4,151
12562,016	4,152
12582,029	4,151
12602,043	4,151
12622,057	4,151
12642,071	4,151
12662,084	4,151
12682,098	4,151
12702,112	4,151
12722,126	4,151
12742,139	4,150
12762,153	4,150
12782,167	4,150
12802,181	4,150
12822,194	4,150
12842,208	4,150
12862,222	4,150
12882,236	4,150
12902,249	4,150
12922,263	4,150
12942,277	4,150
12962,291	4,150
12982,304	4,150
13002,318	4,150
13022,332	4,150
13042,345	4,150
13062,359	4,150
13082,373	4,150
13102,387	4,149
13122,400	4,149
13142,414	4,149
13162,428	4,149
13182,442	4,149
13202,456	4,149
13222,469	4,149
13242,483	4,149
13262,497	4,149
13282,511	4,148
13302,524	4,148
13322,538	4,148
13342,552	4,148
13362,565	4,148
13382,579	4,148
13402,593	4,148
13422,607	4,148
13442,620	4,148
13462,634	4,148
13482,648	4,148
13502,662	4,148
13522,675	4,148
